country,survey,mobile
Armenia,AM72,.96741444
Angola,AO81,.4596644
Bangladesh,BD81,.6937744
Burkina Faso,BF81,.75216317
Benin,BJ71,.51113731
Burundi,BU71,.23557813
Congo Democratic Republic,CD81,.33450648
Cote d'Ivoire,CI81,.78232414
Cameroon,CM71,.6310631
Ethiopia,ET71,.27309173
Gabon,GA71,.8886618
Ghana,GH8C,.79634267
Gambia,GM81,.76403302
Guinea,GN71,.68930328
Haiti,HT71,.55462104
India,IA7E,.5394572
Indonesia,ID71,.78456825
Jordan,JO81,.95237035
Kenya,KE8C,.77510631
Cambodia,KH82,.84844625
Liberia,LB7A,.46734419
Lesotho,LS81,.8583529
Madagascar,MD81,.34591466
Mali,ML8A,.6476056
Mauritania,MR71,.76708865
Maldives,MV71,.95452577
Malawi,MW81,.42061299
Mozambique,MZ81,.44671085
Nigeria,NG8B,.61910844
Nepal,NP82,.79637957
Papua New Guinea,PG71,.3426396
Philippines,PH82,.90866077
Pakistan,PK71,.39184427
Rwanda,RW81,.47941729
Sierra Leone,SL7A,.42626357
Senegal,SN8S,.75042456
Tajikistan,TJ81,.64926469
Timor-Leste,TL71,.65581656
Tanzania,TZ82,.59399116
Uganda,UG7B,.45545477
South Africa,ZA71,.91204631
Zambia,ZM81,.59741771
Zimbabwe,ZW72,.69493139
